Trigger,Method,MAE,P95_abs_err,InBand,UpViol,DownViol,TV,tt,h_to_4b
AD,Constant,0.16389315389347575,0.216,0.016129032258064516,0.0,0.13918885281820692,0.0,90.20125398056724,17.09792379976564
AD,PID,0.03089504163042734,0.068,0.45698924731182794,0.00014516129032258082,0.011464934103545614,94.0692092791221,93.53711374416078,22.506201953835834
AD,DQN,0.011162188107062146,0.023999999999999994,0.9838709677419355,0.0,9.139784946236557e-05,506.25,93.70365540858582,22.658616980486265
AD,GFPO,0.00272132789200838,0.008000000000000007,0.9946236559139785,1.6129032258064642e-05,0.0,576.0,93.80590210174485,22.7968830112338
HT,Constant,0.17902794153038365,0.236,0.016129032258064516,0.0,0.15424837163791055,0.0,94.45692733152583,18.398022511867545
HT,PID,0.025004765426373265,0.055499999999999994,0.5860215053763441,0.0001344086021505378,0.006994012738201217,181.27532483729797,97.82441859606355,24.906329572952664
HT,DQN,0.01166264443613795,0.023999999999999994,0.9838709677419355,6.451612903225805e-05,0.0001733971243099897,703.0,98.04323588805073,26.228280584850385
HT,GFPO,0.003081999274847626,0.008000000000000007,0.989247311827957,2.6881720430107662e-05,0.0001733971243099897,746.0,98.08433318822507,26.39397840595133
