Trigger,Method,mae,rmse,p95_abs_err,inband_frac,upper_viol_frac,lower_viol_frac,viol_mag,cut_TV,cut_step_rms,cut_step_max,tt_inband,aa_inband,score_50_50,score_80_AA
HT,Constant,0.17902794153038365,0.18696110862092982,0.236,0.010752688172043012,0.005376344086021506,0.9838709677419355,0.15918923185296427,0.0,0.0,0.0,94.50643954169611,18.50298435231489,56.5047119470055,33.70367539019114
HT,PD,0.030480080620168645,0.038037537737322574,0.066,0.3763440860215054,0.03763440860215054,0.5752688172043011,0.013920940835222405,181.27532483729797,1.22867801891469,5.025324837297902,97.89885997396874,25.065776297400607,61.48231813568467,39.632393032714226
HT,DQN,0.014963038929758973,0.019115846725461183,0.036000000000000004,0.7150537634408602,0.10215053763440861,0.16129032258064516,0.0029522862415869273,594.0,4.041674793341881,10.0,98.05256868891156,25.715318729917517,61.88394370941454,40.18276872171633
AS,Constant,0.16389315389347575,0.17023316199167127,0.216,0.016129032258064516,0.0,0.9838709677419355,0.1441082076569166,0.0,0.0,0.0,90.20125398056724,17.09792379976564,53.649588890166434,31.718589835925965
AS,PD,0.02120391460367643,0.026848490053123723,0.04999999999999999,0.553763440860215,0.13440860215053763,0.27956989247311825,0.007085635033783953,314.8742493027054,2.1531623809230958,7.679999999999993,93.52222713734862,22.151223275869828,57.83672520660922,36.42542404816558
AS,DQN,0.015553601415388207,0.01931511959513544,0.035999999999999976,0.6559139784946236,0.26881720430107525,0.04838709677419355,0.0030589777594742244,407.25,2.7254431824091547,7.5,93.84201936683354,22.679225452131707,58.26062240948263,36.911784235072076
