a,aa_after,bg_after,bg_before,chunk,cut_before,cut_next,delta,executed,k,micro,occ_mid,reward_exec,reward_raw,shielded,tt_after
4,17.966607517341508,0.23,0.23,1,248.0,250.0,2.0,,0,9,0.0010999999940395355,,0.5725242418712808,,94.1477567091493
4,17.966607517341508,0.23,0.23,1,248.0,250.0,2.0,,1,9,0.0010999999940395355,,0.5725242418712808,,94.1477567091493
2,18.301338925633168,0.23,0.23,1,248.0,248.0,0.0,,2,9,0.0010999999940395355,,0.7742049988542719,,94.40058025075122
3,18.140022584287788,0.23,0.23,1,248.0,249.0,1.0,,3,9,0.0010999999940395355,,0.6734264548670531,,94.2866024246192
3,18.140022584287788,0.23,0.23,1,248.0,249.0,1.0,,4,9,0.0010999999940395355,,0.6734264548670531,,94.2866024246192
1,18.50298435231489,0.23,0.23,1,248.0,247.0,-1.0,,5,9,0.0010999999940395355,,0.6750310438263795,,94.50626878043727
2,18.301338925633168,0.23,0.23,1,248.0,248.0,0.0,,6,9,0.0010999999940395355,,0.7742049988542719,,94.40058025075122
2,18.301338925633168,0.23,0.23,1,248.0,248.0,0.0,,7,9,0.0010999999940395355,,0.7742049988542719,,94.40058025075122
2,18.301338925633168,0.23,0.23,1,248.0,248.0,0.0,,8,9,0.0010999999940395355,,0.7742049988542719,,94.40058025075122
3,18.140022584287788,0.23,0.23,1,248.0,249.0,1.0,,9,9,0.0010999999940395355,,0.6734264548670531,,94.2866024246192
1,18.50298435231489,0.23,0.23,1,248.0,247.0,-1.0,,10,9,0.0010999999940395355,,0.6750310438263795,,94.50626878043727
3,18.140022584287788,0.23,0.23,1,248.0,249.0,1.0,,11,9,0.0010999999940395355,,0.6734264548670531,,94.2866024246192
0,18.660267785126635,0.23,0.23,1,248.0,246.0,-2.0,,12,9,0.0010999999940395355,,0.575809811292977,,94.62231893068076
0,18.660267785126635,0.23,0.23,1,248.0,246.0,-2.0,,13,9,0.0010999999940395355,,0.575809811292977,,94.62231893068076
0,18.660267785126635,0.23,0.23,1,248.0,246.0,-2.0,,14,9,0.0010999999940395355,,0.575809811292977,,94.62231893068076
2,18.301338925633168,0.23,0.23,1,248.0,248.0,0.0,,15,9,0.0010999999940395355,,0.7742049988542719,,94.40058025075122
2,18.301338925633168,0.23,0.23,1,248.0,248.0,0.0,1,2,9,0.0010999999940395355,0.7742049988542719,0.7742049694061279,0,94.40058025075122
0,18.333545442975836,0.3,0.29,2,248.0,246.0,-2.0,,0,10,0.001500000013038516,,-0.833439057825786,,94.47346282206547
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,1,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
1,18.188098830972855,0.3,0.29,2,248.0,247.0,-1.0,,2,10,0.001500000013038516,,-0.7341921906933128,,94.35790291118528
2,18.002654400669055,0.29,0.29,2,248.0,248.0,0.0,,3,10,0.001500000013038516,,-0.18706969420321878,,94.23124924886058
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,4,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
1,18.188098830972855,0.3,0.29,2,248.0,247.0,-1.0,,5,10,0.001500000013038516,,-0.7341921906933128,,94.35790291118528
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,6,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
4,17.689944184862643,0.27,0.29,2,248.0,250.0,2.0,,7,10,0.001500000013038516,,0.3792029060550137,,93.9557544213222
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,8,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,9,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,10,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
4,17.689944184862643,0.27,0.29,2,248.0,250.0,2.0,,11,10,0.001500000013038516,,0.3792029060550137,,93.9557544213222
0,18.333545442975836,0.3,0.29,2,248.0,246.0,-2.0,,12,10,0.001500000013038516,,-0.833439057825786,,94.47346282206547
3,17.862662036616186,0.28,0.29,2,248.0,249.0,1.0,,13,10,0.001500000013038516,,0.06415110225367157,,94.10644454510997
4,17.689944184862643,0.27,0.29,2,248.0,250.0,2.0,,14,10,0.001500000013038516,,0.3792029060550137,,93.9557544213222
4,17.689944184862643,0.27,0.29,2,248.0,250.0,2.0,,15,10,0.001500000013038516,,0.3792029060550137,,93.9557544213222
4,17.689944184862643,0.27,0.29,2,248.0,250.0,2.0,1,7,10,0.001500000013038516,0.3792029060550137,0.3792029023170471,1,93.9557544213222
4,17.36632547315601,0.25,0.26,2,250.0,252.0,2.0,,0,11,0.0010000000474974513,,1.1615979080902257,,93.71631428597843
1,17.862662036616186,0.26,0.26,2,250.0,249.0,-1.0,,1,11,0.0010000000474974513,,1.152151102253672,,94.10644454510997
2,17.689944184862643,0.26,0.26,2,250.0,250.0,0.0,,2,11,0.0010000000474974513,,1.2512029060550138,,93.9557544213222
4,17.36632547315601,0.25,0.26,2,250.0,252.0,2.0,,3,11,0.0010000000474974513,,1.1615979080902257,,93.71631428597843
2,17.689944184862643,0.26,0.26,2,250.0,250.0,0.0,,4,11,0.0010000000474974513,,1.2512029060550138,,93.9557544213222
4,17.36632547315601,0.25,0.26,2,250.0,252.0,2.0,,5,11,0.0010000000474974513,,1.1615979080902257,,93.71631428597843
1,17.862662036616186,0.26,0.26,2,250.0,249.0,-1.0,,6,11,0.0010000000474974513,,1.152151102253672,,94.10644454510997
2,17.689944184862643,0.26,0.26,2,250.0,250.0,0.0,,7,11,0.0010000000474974513,,1.2512029060550138,,93.9557544213222
2,17.689944184862643,0.26,0.26,2,250.0,250.0,0.0,,8,11,0.0010000000474974513,,1.2512029060550138,,93.9557544213222
1,17.862662036616186,0.26,0.26,2,250.0,249.0,-1.0,,9,11,0.0010000000474974513,,1.152151102253672,,94.10644454510997
2,17.689944184862643,0.26,0.26,2,250.0,250.0,0.0,,10,11,0.0010000000474974513,,1.2512029060550138,,93.9557544213222
3,17.535407159609477,0.25,0.26,2,250.0,251.0,1.0,,11,11,0.0010000000474974513,,1.262346540266579,,93.81893148684004
3,17.535407159609477,0.25,0.26,2,250.0,251.0,1.0,,12,11,0.0010000000474974513,,1.262346540266579,,93.81893148684004
2,17.689944184862643,0.26,0.26,2,250.0,250.0,0.0,,13,11,0.0010000000474974513,,1.2512029060550138,,93.9557544213222
3,17.535407159609477,0.25,0.26,2,250.0,251.0,1.0,,14,11,0.0010000000474974513,,1.262346540266579,,93.81893148684004
1,17.862662036616186,0.26,0.26,2,250.0,249.0,-1.0,,15,11,0.0010000000474974513,,1.152151102253672,,94.10644454510997
3,17.535407159609477,0.25,0.26,2,250.0,251.0,1.0,1,11,11,0.0010000000474974513,1.262346540266579,1.2623465061187744,0,93.81893148684004
1,17.689944184862643,0.33,0.33,2,251.0,250.0,-1.0,,0,12,0.0010999999940395355,,-1.8887970939449867,,93.9557544213222
4,17.2245150264531,0.31,0.33,2,251.0,253.0,2.0,,1,12,0.0010999999940395355,,-1.383236702458257,,93.57856687220922
